Split,Dialogue_ID,Utterance_ID,Speaker,Utterance,Emotion
train,Ses01F_impro01,Ses01F_impro01_F000,F,Excuse me.,neutral
train,Ses01F_impro01,Ses01F_impro01_F001,F,Yeah.,neutral
train,Ses01F_impro01,Ses01F_impro01_F002,F,Is there a problem?,neutral
train,Ses01F_impro01,Ses01F_impro01_F003,F,You did.,undecided
train,Ses01F_impro01,Ses01F_impro01_F004,F,You were standing at the beginning and you directed me.,undecided
train,Ses01F_impro01,Ses01F_impro01_F005,F,Well what's the problem?  Let me change it.,neutral
train,Ses01F_impro01,Ses01F_impro01_F006,F,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,frustration
train,Ses01F_impro01,Ses01F_impro01_F007,F,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,frustration
train,Ses01F_impro01,Ses01F_impro01_F008,F,I'm here to get an ID.,frustration
train,Ses01F_impro01,Ses01F_impro01_F009,F,Like what?  Like a birth certificate?,frustration
train,Ses01F_impro01,Ses01F_impro01_F010,F,Who the hell has a birth certificate?,undecided
train,Ses01F_impro01,Ses01F_impro01_F011,F,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",frustration
train,Ses01F_impro01,Ses01F_impro01_F012,F,That's out of control.,anger
train,Ses01F_impro01,Ses01F_impro01_F013,F,How long have you been working here?,frustration
train,Ses01F_impro01,Ses01F_impro01_F014,F,"Clearly.  You know, do you have like a supervisor or something?",neutral
train,Ses01F_impro01,Ses01F_impro01_F015,F,That would - I would appreciate that.  Yeah.,frustration
train,Ses01F_impro01,Ses01F_impro01_M000,M,Do you have your forms?,frustration
train,Ses01F_impro01,Ses01F_impro01_M001,M,Let me see them.,frustration
train,Ses01F_impro01,Ses01F_impro01_M002,M,Who told you to get in this line?,frustration
train,Ses01F_impro01,Ses01F_impro01_M003,M,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,frustration
train,Ses01F_impro01,Ses01F_impro01_M004,M,This form is a Z.X.four.,frustration
train,Ses01F_impro01,Ses01F_impro01_M005,M,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",frustration
train,Ses01F_impro01,Ses01F_impro01_M006,M,No. I need another set of ID to prove this is actually you.,frustration
train,Ses01F_impro01,Ses01F_impro01_M007,M,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,frustration
train,Ses01F_impro01,Ses01F_impro01_M008,M,"No.  I need another ID, a separate one.",frustration
train,Ses01F_impro01,Ses01F_impro01_M009,M,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",frustration
train,Ses01F_impro01,Ses01F_impro01_M010,M,"Yeah.  We keep it on file, but we need an ID to access that file.",frustration
